"","year","age","caan","caaw","waa","waa.sd","laa","laa.sd","waa.interpol"
"1",2022,1,79.0969373058261,10.16454038145,0.12850738255704,0.046049597415068,236.566691795074,22.7925015056491,0.12850738255704
"11",2023,1,58.9353374879579,6.97590922848335,0.118365475211009,0.0343408240771296,233.402207946024,18.2035528590076,0.118365475211009
"21",2024,1,245.002173553994,30.0013646297683,0.12245346314512,0.036931131499978,233.766229490082,18.1547585834877,0.12245346314512
"3",2022,2,224.123160002547,50.2440348651461,0.224180467848905,0.0749764255821502,278.68706040325,27.2460491507691,0.224180467848905
"13",2023,2,106.909221155027,20.2776785864684,0.189671932574125,0.0631943558833013,266.463869472295,24.3607903160535,0.189671932574125
"23",2024,2,329.177175042834,71.9705293484687,0.21863766629355,0.0590229489708826,275.381034341382,20.9819691220237,0.21863766629355
"4",2022,3,99.3251524179162,34.609179379265,0.348443254671736,0.0759575089694763,319.034964682527,21.0192459287246,0.348443254671736
"14",2023,3,129.088148390345,37.5801602644945,0.291120143352411,0.0809339485381982,302.318107975032,24.5089235829733,0.291120143352411
"24",2024,3,302.796107601501,85.3592628232813,0.281903434953066,0.0789341817943859,296.18844756146,23.1279766505715,0.281903434953066
"5",2022,4,32.3503041283919,13.7614660490297,0.425389078087587,0.0754323810951907,338.779584958003,17.9137815497333,0.425389078087587
"15",2023,4,43.2683671467303,16.6748527897002,0.385382067531066,0.0809617422616008,329.148132686662,19.9533411546695,0.385382067531066
"25",2024,4,280.094282523257,103.220245891597,0.368519646176735,0.0951010856292582,320.860514844078,24.488305621908,0.368519646176735
"6",2022,5,34.3593924643882,17.0349669411142,0.49578778084537,0.0829344938280886,354.908669733537,17.3280113413185,0.49578778084537
"16",2023,5,11.8897831618843,5.71125747375233,0.480350011097026,0.107924613749471,349.828802470192,22.226058579647,0.480350011097026
"26",2024,5,101.684061912232,45.6044342105464,0.448491468111389,0.0837844490934027,341.460149398932,18.6004940030092,0.448491468111389
"7",2022,6,16.88443694022,9.77176757402591,0.578744059314695,0.0576572374745173,373.14146134765,10.8832540921481,0.578744059314695
"17",2023,6,8.51785226062838,4.70748083955608,0.552660541121994,0.105309880375263,364.119895127443,17.9732223825469,0.552660541121994
"27",2024,6,52.8133026860168,25.1037470631472,0.475329998057361,0.0703358439484593,348.537840977337,14.5321836075229,0.475329998057361
"8",2022,7,8.10201783718635,4.67813288337712,0.577403429292095,0.0684574752594524,372.926787794624,12.945183453734,0.577403429292095
"18",2023,7,2.19818981533556,1.38258280508068,0.628964248417113,0.124120431131921,377.036899370942,18.7422700608752,0.628964248417113
"28",2024,7,11.6741581546353,7.1703687363773,0.614208634267155,0.0723343256900099,374.451865121299,12.1829890547391,0.614208634267155
"9",2022,8,0.0131010305020409,0.00899650601206457,0.686702165197086,NA,387.650036713754,NA,0.686702165197086
"19",2023,8,1.22928337881491,0.810940708567584,0.659685734423067,0.204852737699702,380.909071835765,28.7245544662796,0.659685734423067
"29",2024,8,0.426151717576331,0.22922732290949,0.537900736885875,NA,356.713052306892,NA,0.537900736885875
"10",2022,9,0.783995290749965,0.543093585997478,0.692725571703318,NA,393.980119787095,NA,0.692725571703318
"20",2023,9,0.444151086271613,0.294477202851235,0.66301133094866,NA,382.102328310195,NA,0.66301133094866
"30",2024,9,1.16068270047502,0.805808752419222,0.694254124826222,0.143052707631671,389.315617005209,23.7028992085787,0.694254124826222
"2",2022,10,0,0,NA,NA,NA,NA,0.676765890059922
"12",2023,10,0.0936366353132844,0.0633700808400113,0.676765890059922,NA,382.70548422977,NA,0.676765890059922
"22",2024,10,0.0116333539443275,0.0078989151359347,0.678988636788296,NA,380.076051377718,NA,0.678988636788296
